author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Hardani Triyoga,"Kasus Sambo, Panda Nababan: Kesempatan Emas Jokowi Rombak Habis Polri",Kasus Ferdy Sambo sudah hampir 2 bulan jadi sorotan publik. Slogan presisi dikritik sebagai lipstik Kapolri.,https://www.viva.co.id/berita/politik/1515382-kasus-sambo-panda-nababan-kesempatan-emas-jokowi-rombak-habis-polri,https://thumb.viva.co.id/media/frontend/thumbs3/2011/06/22/114210_vonis-panda-nababan_665_374.jpg,2022-08-31T00:06:21Z,"VIVA Politik - Kasus yang menjerat eks Kepala Divisi Profesi dan Pengamanan (Propam) Polri Ferdy Sambo dalam dugaan pembunuhan ajudannya, Noriansyah Yosua Hutabarat alias Brigadir J sudah hampir dua … [+1170 chars]",NA,Viva.co.id
Siti Ruqoyah,"Sahroni: Sebelum Jadi Jenderal, Ferdy Sambo Gak Arogan","Sahroni mengaku cukup dekat dengan Ferdy Sambo, bahkan cukup sering mengobrol dengan Sambo. Dia menilai sebelum menjadi seorang Jenderal Sambo tak arogan.",https://www.viva.co.id/berita/nasional/1515303-sahroni-sebelum-jadi-jenderal-ferdy-sambo-gak-arogan,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/30/630de6d7b5e86-ferdy-sambo-rekonstruksi-pembunuhan-brigadir-j_665_374.jpg,2022-08-30T23:10:02Z,"VIVA Nasional  Anggota Komisi III DPR RI, Ahmad Sahroni, angkat bicara mengenai sosok mantan Kadiv Propam Polri Irjen Ferdy Sambo yang kini ditetapkan sebagai tersangka atas kasus pembunuhan Brigadir… [+1234 chars]",NA,Viva.co.id
Siti Ruqoyah,Potret Mesra Ferdy Sambo-Putri Candrawathi saat Rekonstruksi,Saat proses rekonstruksi terlihat Putri Candrawathi selalu memegang erat tangan suaminya Ferdy Sambo dan bersandar di pundaknya. Momen ini terekam kamera.,https://www.viva.co.id/berita/metro/1515287-potret-mesra-ferdy-sambo-putri-candrawathi-saat-rekonstruksi,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/30/630de9f20f3f7-putri-chandrawathi-dan-ferdy-sambo-di-rekonstruksi-pembunuhan-brigadir-j_665_374.jpg,2022-08-30T23:00:04Z,"VIVA Metro  Tersangka kasus pembunuhan berencana Irjen Ferdy Sambo dan istrinya, Putri Candrawathi selesai menjalani rekontruksi di TKP kedua, yakni rumah dinas Ferdy Sambo yang ada di Komplek Polri … [+745 chars]",NA,Viva.co.id
Dusep Malik,"Tampang Sambo Berbaju Tahanan, Pertalite Dibatasi hingga TNI Mutilasi",Irjen Ferdy Sambo menggunakan baju tahanan berwarna orange saat melakukan adegan dalam rekonstruksi pembunuhan Brigadir J,https://www.viva.co.id/ragam/round-up/1515267-tampang-sambo-berbaju-tahanan-pertalite-dibatasi-hingga-tni-mutilasi,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/30/630de99ea2b73-putri-chandrawathi-dan-ferdy-sambo-di-rekonstruksi-pembunuhan-brigadir-j_665_374.jpg,2022-08-30T22:30:03Z,VIVA  Berita terkait rekonstruksi tewasnya Brigadir J yang dibunuh dan diotaki oleh atasannya Irjen Ferdy Sambo terus menjadi berita paling populer di VIVA.co.id pada sepanjang Selasa 30 Agustus 2022… [+1035 chars],NA,Viva.co.id
Anwar Sadat,"Pengacara Yosua Dilarang Ikut Rekonstruksi, Deolipa: Dirtipidum Bodoh",Deolipa menyoroti terkait tidak diperbolehkannya pengacara Brigadir J hadir dalam rekonstruksi kasus pembunuhan berencana Brigadir J,https://www.viva.co.id/berita/nasional/1515357-pengacara-yosua-dilarang-ikut-rekonstruksi-deolipa-dirtipidum-bodoh,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/19/62ff112b24531-deolipa-yumara_665_374.jpg,2022-08-30T22:00:04Z,"VIVA Nasional  Eks Pengacara Bharada E, Deolipa Yumara, menyoroti terkait tidak diperbolehkannya pengacara Brigadir Nofriansyah Yosua Hutabarat atau Brigadir J hadir dalam rekonstruksi kasus pembunuh… [+1422 chars]",NA,Viva.co.id
Anwar Sadat,Arti di Balik Gandengan Tangan Putri-Ferdy Sambo Saat Rekonstruksi,"Kuasa hukum keluarga Ferdy Sambo, Arman Hanis mengungkapkan makna dibalik gandengan tangan Ferdy Sambo dan Putri Candrawathi",https://www.viva.co.id/berita/nasional/1515350-arti-di-balik-gandengan-tangan-putri-ferdy-sambo-saat-rekonstruksi,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/31/630e438d423bb-tersangka-ferdy-sambo-bersama-istrinya-tersangka-putri-candrawathi_665_374.jpg,2022-08-30T22:00:04Z,"VIVA Nasional  Momen Putri Candrawathi menggandeng tangan Ferdy Sambo pada adegan ke-71 saat rekonstruksi di rumah dinas Komplek Polri Duren Tiga No. 46, Jakarta Selatan sebagai aksi spontanitas, seb… [+750 chars]",NA,Viva.co.id
Surya Aditiya,Deolipa Soal Rekonstruksi: Satu Saksi Benar vs Empat Saksi Bohong,"Deolipa menyebut, soal rekonstruksi kasus pembunuhan berencana yang menewaskan Brigadir J, akan dihadiri oleh satu saksi benar dan empat saksi bohong.",https://www.viva.co.id/berita/nasional/1515139-deolipa-soal-rekonstruksi-satu-saksi-benar-vs-empat-saksi-bohong,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/15/62fa2b821596f-mantan-kuasa-hukum-bharada-e-deolipa-yumara_665_374.jpg,2022-08-30T17:10:02Z,"VIVA Nasional  Mantan pengacara Bharada E, Deolipa Yumara turut menyorot soal rekonstruksi pembunuhan berencana terhadap Brigadir J yang tengah dilakukan hari ini di TKP Jalan Saguling dan TKP Duren … [+874 chars]",NA,Viva.co.id
Anwar Sadat,Wapres: Rekonstruksi Kasus Brigadir J Sudah Sesuai Keinginan Presiden,"Wapres RI Ma'ruf Amin mengatakan, rekonstruksi perkara dugaan pembunuhan berencana terhadap Brigadir J sudah sesuai dengan apa yang diinginkan oleh Presiden Jokowi.",https://www.viva.co.id/berita/nasional/1515345-wapres-rekonstruksi-kasus-brigadir-j-sudah-sesuai-keinginan-presiden,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/20/6300ec5383a6f-wakil-presiden-ri-ma-ruf-amin_665_374.jpg,2022-08-30T17:06:02Z,"VIVA Nasional  Wakil Presiden Ma'ruf Amin mengatakan rekonstruksi perkara dugaan pembunuhan berencana Brigadir Nofriansyah Yosua Hutabarat atau Brigadir J di Komplek Polri, Duren Tiga, Jakarta Selata… [+1274 chars]",NA,Viva.co.id
Agus Rahmat,Ditjen Imigrasi Cekal Putri Candrawathi ke Luar Negeri,"Putri Candrawathi, istri Irjen Ferdy Sambo, adalah salah satu tersangka kasus pembunuhan terhadap Brigadir J. Putri belum ditahan dengan alasan kesehatan.",https://www.viva.co.id/berita/nasional/1515338-ditjen-imigrasi-cekal-putri-candrawathi-ke-luar-negeri,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/30/630d8ef098bc2-istri-ferdy-sambo-putri-candrawathi-dalam-rekonstruksi_665_374.jpeg,2022-08-30T16:18:02Z,"VIVA Nasional  Istri Ferdy Sambo yang juga salah satu tersangka kasus pembunuhan berencana Brigadir Nofriansyah Yosua Hutabarat atau Brigadir J, Putri Candrawathi dicekal untuk berpergian ke luar neg… [+1266 chars]",NA,Viva.co.id
Agus Rahmat,"Geger Isu Hubungan Intim Kuat Maruf dan Putri Candrawathi, Benarkah?",Pengacara dari Putri Candrawathi atau PC angkat bicara terkait isu hubungan intim Kuat Maruf dengan kliennya.,https://www.viva.co.id/berita/nasional/1515332-geger-isu-hubungan-intim-kuat-maruf-dan-putri-candrawathi-benarkah,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/10/62f2a33e7d3c4-kuasa-hukum-irjen-ferdy-sambo-dan-istrinya-pc-arman-hanis_665_374.jpg,2022-08-30T16:00:03Z,"VIVA Nasional  Pengacara Putri Chandrawati (PC), Arman Hanis, membantah adanya kabar kliennya melakukan hubungan intim dengan asisten rumah tangga Irjen Ferdy Sambo yakni Kuat Maruf atau KM. Kini, KM… [+1322 chars]",NA,Viva.co.id
